area,time,OBS,EXP,pop,type,Average_cloud_volume,rain_fall,Average_temperature_(Celsius),wind_speed,Average_maximum_relative_humidity
Amnat Charoen,1,2,6.535534511,372241,1,5,0,0,0,88
Ang Thong,1,1,4.987334734,284061,1,4,0,0,0,88
Bangkok Metropolis,1,202,99.63473199,5674843,1,5.25,0.58,26.35,3.3,73.75
Bueng Kan,1,1,7.156938851,407634,1,3,0,0,0,75
Buri Ram,1,11,27.37327114,1559085,1,2.5,0,22,2.6,87.5
Chachoengsao,1,12,11.92788027,679370,1,5,0,25,2,82
Chai Nat,1,9,5.851064469,333256,1,3,0.2,25.1,0.3,84
Chaiyaphum,1,3,19.79446629,1127423,1,3,0,23.2,3.3,76
Chanthaburi,1,9,9.074561077,516855,1,2.5,0,26.4,2.6,79.5
Chiang Mai,1,13,28.90178922,1646144,1,3,11.95,19.75,1.75,89
Chiang Rai,1,9,21.04512306,1198656,1,3,26.45,21.55,0.95,94.5
Chon Buri,1,36,23.5031404,1338656,1,4,0.04,26.96,4.34,76.6
Chumphon,1,21,8.641370635,492182,1,6.5,46.15,25.15,2,93.5
Kalasin,1,0,17.23517864,981655,1,2,0,21,7.2,87
Kamphaeng Phet,1,8,12.74673363,726009,1,3,2.8,24.2,0.9,92
Kanchanaburi,1,6,14.72903683,838914,1,2.5,5.55,24.95,0.55,89
Khon Kaen,1,5,31.00729176,1766066,1,2.5,0,22.1,2.9,87.5
Krabi,1,18,7.690767545,438039,1,6,87.1,27.25,3.95,93.5
Lampang,1,9,13.30022647,757534,1,3.666666667,4.7,22.83333333,1.066666667,94.66666667
Lamphun,1,1,7.092292995,403952,1,3,7.6,22.8,0.3,96
Loei,1,0,10.9718871,624920,1,2,0.15,20.5,1.7,92.5
Lop Buri,1,21,13.27552339,756127,1,3,0,24.6,3.65,77.5
Mae Hong Son,1,0,4.284815822,244048,1,2.5,14.05,23,0.3,96
Maha Sarakham,1,5,16.49919557,939736,1,2,0,22.2,2.9,87
Mukdahan,1,0,5.979671448,340581,1,2,0,21.5,3.7,84
Nakhon Nayok,1,0,4.456578562,253831,1,0,0,0,0,0
Nakhon Pathom,1,34,15.20571662,866064,1,2,0,23.4,1.5,94
Nakhon Phanom,1,1,12.37379973,704768,1,2.5,0,20.25,2.75,89.5
Nakhon Ratchasima,1,16,45.39124051,2585325,1,3,0.266666667,22.56666667,5.066666667,83.33333333
